COMPANY_ABBR_EN,STOCK_TYPE,LIST_BOARD,公司简称,A股代码,地区,DELIST_DATE,NUM,SEC_NAME_CN,AREA_NAME_DESC,FULL_NAME_IN_ENGLISH,SEC_NAME_FULL,STATE_CODE,B股代码,STATE_CODE_STOCK,LIST_DATE,CSRC_CODE,PRODUCT_STATUS,证监会行业,COMPANY_CODE,公司全称,A股上市日期,REG_PROVINCE,STATE_CODE_B_DESC,INVESTOR_PHONE,IS_VOTE_DIFF,STATUS_A,LEGAL_REPRESENTATIVE,SECURITY_ABBR_B_FULL,SEC_TYPE,PROFIT_FLAG,SMALL_CLASS_NAME,STATE_CODE_A_DESC,OTHER_CODE,CSRC_GREAT_CODE,OFFICE_ZIP,SECURITY_ABBR_A_CN,SECURITY_30_DESC,E_MAIL_ADDRESS,证监会大类行业,FOREIGN_LISTING_ADDRESS,FOREIGN_LISTING_DESC,CHANGEABLE_BOND_CODE,REG_CITY,B股上市日期,OTHER_ABBR,NAME,英文全称,REG_ADDRESS,SECURITY_ABBR_B_CN,CHANGEABLE_BOND_ABBR,OFFICE_ADDRESS,TOTAL_DOMESTIC_VOL,A_LIMIT_VOL,TRADE_DATE,B_VOL,SPECIAL_VOL,TOTAL_UNLIMIT_VOL,A_UNLIMIT_VOL,CDR_VOL,市场类型
ZZEPC,1,1,浙能电力,600023,浙江省,-,18,浙能电力,浙江省,"Zhejiang Zheneng Electric Power CO.,LTD",浙能电力,2,-,4,20131219,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600023,浙江浙能电力股份有限公司,20131219,330000,-,0571-87210223,N,   D  F  N          ,虞国平                        ,-,主板A,Y,-,上市,190029,44,310007,浙能电力,是,zzep@zjenergy.com.cn,电力、热力生产和供应业,-,否,-,330100,-,浙能转股,魏峥,"Zhejiang Zheneng Electric Power CO.,LTD",浙江省杭州市天目山路152号浙能大楼2楼,-,-,浙江省杭州市教工路18号欧美中心D区1401室,1340873.27,0.00,20250902,0.00,-,1340873.27,1340873.27,0.00,主板A股
HHP,1,1,华能水电,600025,云南省,-,19,华能水电,云南省,Huaneng Lancang River Hydropower Inc.,华能水电,2,-,4,20171215,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600025,华能澜沧江水电股份有限公司,20171215,530000,-,0871-67216608,N,   D  F  N          ,孙卫                          ,-,主板A,Y,-,上市,-,44,650214,华能水电,是,hdsd@lcjsd.cn,电力、热力生产和供应业,-,-,-,530100,-,-,赵虎,Huaneng Lancang River Hydropower Inc.,云南省昆明市官渡区世纪城中路1号,-,-,云南省昆明市官渡区世纪城中路1号,1800000.00,0.00,20250902,0.00,-,1800000.00,1800000.00,0.00,主板A股
COSCO SHIPPING ENERGY,1,1,中远海能,600026,上海市,-,20,中远海能,上海市,"Cosco Shipping Energy Transportation Co., Ltd.",中远海能,2,-,4,20020523,G,   D  F  N          ,交通运输、仓储和邮政业,600026,中远海运能源运输股份有限公司,20020523,310000,-,021-65967678,N,   D  F  N          ,任永强                        ,-,主板A,Y,-,上市,190017,55,200080,中远海能,是,ir.energy@coscoshipping.com,水上运输业,香港,是,-,310000,-,中海转股,倪艺丹,"Cosco Shipping Energy Transportation Co., Ltd.",上海市中国(上海)自由贸易试验区临港新片区业盛路188号A-1015室,-,-,上海市虹口区东大名路670号7楼,347477.64,0.00,20250902,0.00,-,347477.64,347477.64,0.00,主板A股
HDPI,1,1,华电国际,600027,山东省,-,21,华电国际,山东省,Huadian Power International Corporation Limited,华电国际,2,-,4,20050203,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600027,华电国际电力股份有限公司,20050203,370000,-,8610-8356 7900,N,   D  F  N          ,戴军                          ,-,主板A,Y,-,上市,-,44,100031,华电国际,是,hdpi@hdpi.com.cn,电力、热力生产和供应业,香港,是,-,370100,-,-,秦介海,Huadian Power International Corporation Limited,山东省济南市经十路14800号,-,-,北京市西城区宣武门内大街2号B座15至16层,989454.06,138421.31,20250902,0.00,-,851032.75,851032.75,0.00,主板A股
SINOPEC CORP.,1,1,中国石化,600028,北京市,-,22,中国石化,北京市,China Petroleum & Chemical Corporation,中国石化,2,-,4,20010808,B,   D  F  N          ,采矿业,600028,中国石油化工股份有限公司,20010808,110000,-,010-59960028,N,   D  F  N          ,马永生                        ,-,主板A,Y,-,上市,190015,07,100728,中国石化,是,ir@sinopec.com.cn,石油和天然气开采业,香港、伦敦、纽约,是,-,110000,-,石化转股,黄文生,China Petroleum & Chemical Corporation,北京市朝阳区朝阳门北大街22号,-,-,中国北京市朝阳区朝阳门北大街22号,9723226.31,239043.82,20250902,0.00,-,9484182.49,9484182.49,0.00,主板A股
CSN,1,1,南方航空,600029,广东省,-,23,南方航空,广东省,China Southern Airlines Company Limited,南方航空,2,-,4,20030725,G,   D  F  N          ,交通运输、仓储和邮政业,600029,中国南方航空股份有限公司,20030725,440000,-,020-86124462,N,   D  F  N          ,马须伦                        ,-,主板A,Y,-,上市,110075,56,510403,南方航空,否,ir@csair.com,航空运输业,香港、纽约,是,110075,440100,-,南航转债,陈威华,China Southern Airlines Company Limited,广东省广州市黄埔区玉岩路12号冠昊科技园一期办公楼3楼301室,-,南航转债,广东省广州市白云区齐心路68号,1347692.10,80357.14,20250902,0.00,-,1267334.96,1267334.96,0.00,主板A股
"CITIC SECURITIES CO.,LTD.",1,1,中信证券,600030,广东省,-,24,中信证券,广东省,CITIC Securities Company Limited,中信证券,2,-,4,20030106,J,   D  F  N          ,金融业,600030,中信证券股份有限公司,20030106,440000,-,0755-23835383,N,   D  F  N          ,张佑君                        ,-,主板A,Y,-,上市,-,67,100026,中信证券,是,ir@citics.com,资本市场服务,香港,否,-,440300,-,-,王俊锋,CITIC Securities Company Limited,广东省深圳市福田区中心三路8号卓越时代广场(二期)北座,-,-,北京市朝阳区亮马桥路48号中信证券大厦；深圳市福田区中心三路8号中信证券大厦,1220047.00,2391.90,20250902,0.00,-,1217655.10,1217655.10,0.00,主板A股
SANY,1,1,三一重工,600031,北京市,-,25,三一重工,北京市,"SANY HEAVY INDUSTRY CO.,LTD",三一重工,2,-,4,20030703,C,   D  F  N          ,制造业,600031,三一重工股份有限公司,20030703,110000,-,073184031555,N,   D  F  N          ,向文波                        ,-,主板A,Y,-,上市,190032,35,102206,三一重工,是,fanjj2@sany.com.cn,专用设备制造业,-,否,-,110000,-,三一转股,秦致妤,"SANY HEAVY INDUSTRY CO.,LTD",北京市昌平区北清路8号6幢5楼,-,-,北京市昌平区北清路8号,847439.00,0.00,20250902,0.00,-,847439.00,847439.00,0.00,主板A股
ZHEJIANG PROVINCIAL NEW ENERGY,1,1,浙江新能,600032,浙江省,-,26,浙江新能,浙江省,"Zhejiang Provincial New Energy Investment Group Co., Ltd.",浙江新能,2,-,4,20210525,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600032,浙江省新能源投资集团股份有限公司,20210525,330000,-,0571-86664353,N,   D  F  N          ,张坚群                        ,-,主板A,Y,-,上市,-,44,310020,浙江新能,-,zjnepe@163.com,电力、热力生产和供应业,-,-,-,330100,-,-,张利,"Zhejiang Provincial New Energy Investment Group Co., Ltd.",浙江省杭州市上城区凯旋街道凤起东路8号,-,-,杭州市上城区凯旋街道凤起东路8号,240467.53,0.00,20250902,0.00,-,240467.53,240467.53,0.00,主板A股
FUJIAN EXPRESSWAY,1,1,福建高速,600033,福建省,-,27,福建高速,福建省,"Fujian Expressway Development Co.,Ltd",福建高速,2,-,4,20010209,G,   D  F  N          ,交通运输、仓储和邮政业,600033,福建发展高速公路股份有限公司,20010209,350000,-,0591-38350008,N,   D  F  N          ,方晓东                        ,-,主板A,Y,-,上市,-,54,350018,福建高速,否,stock@fjgs.com.cn,道路运输业,-,否,-,350100,-,-,杨帆,"Fujian Expressway Development Co.,Ltd",福建省福州市东水路18号福建交通综合大楼26层,-,-,福州市仓山区城门镇林浦路367号林浦广场5号楼8-9层,274440.00,0.00,20250902,0.00,-,274440.00,274440.00,0.00,主板A股
CHUTIAN EXPWY,1,1,楚天高速,600035,湖北省,-,28,楚天高速,湖北省,"Hubei Chutian Smart Communication Co.,Ltd.",楚天高速,2,-,4,20040310,G,   D  F  N          ,交通运输、仓储和邮政业,600035,湖北楚天智能交通股份有限公司,20040310,420000,-,02787576667,N,   D  F  N          ,王南军                        ,-,主板A,Y,-,上市,-,54,430050,楚天高速,否,600035@hbctgs.com,道路运输业,-,否,-,420100,-,-,罗琳,"Hubei Chutian Smart Communication Co.,Ltd.",湖北省武汉市汉阳区龙阳大道9号,-,-,武汉市汉阳区四新大道与子期路交汇处湖北国展中心东塔23-24层,161011.59,0.00,20250902,0.00,-,161011.59,161011.59,0.00,主板A股
CMB,1,1,招商银行,600036,广东省,-,29,招商银行,广东省,"CHINA MERCHANTS BANK CO., LTD.",招商银行,2,-,4,20020409,J,   D  F  N          ,金融业,600036,招商银行股份有限公司,20020409,440000,-,0755-83198888,N,   D  F  N          ,缪建民                        ,-,主板A,Y,-,上市,-,66,518040,招商银行,是,-,货币金融服务,香港,是,-,440300,-,-,彭家文,"CHINA MERCHANTS BANK CO., LTD.",广东省深圳市福田区深南大道7088号,-,-,深圳市福田区深南大道7088号招商银行大厦26楼,2062894.44,0.00,20250902,0.00,-,2062894.44,2062894.44,0.00,主板A股
BGCTV,1,1,歌华有线,600037,北京市,-,30,歌华有线,北京市,"Beijing Gehua CATV Network Co., Ltd.",歌华有线,2,-,4,20010208,I,   D  F  N          ,信息传输、软件和信息技术服务业,600037,北京歌华有线电视网络股份有限公司,20010208,110000,-,010-62035573,N,   D  F  N          ,郭章鹏                        ,-,主板A,Y,-,上市,190011,63,100007,歌华有线,否,bgctv@bgctv.com.cn,电信、广播电视和卫星传输服务,-,否,-,110000,-,歌华转股,丁颖磊,"Beijing Gehua CATV Network Co., Ltd.",北京市海淀区西三环北路87号4层409,-,-,北京市东城区青龙胡同1号歌华大厦七层,139177.79,0.00,20250902,0.00,-,139177.79,139177.79,0.00,主板A股
AVICOPTER,1,1,中直股份,600038,黑龙江省,-,31,中直股份,黑龙江省,Avicopter Plc.,中直股份,2,-,4,20001218,C,   D  F  N          ,制造业,600038,中航直升机股份有限公司,20001218,230000,-,(010)58354758,N,   D  F  N          ,闫灵喜                        ,-,主板A,Y,-,上市,-,37,100029,中直股份,否,avicopter@avic.com,铁路、船舶、航空航天和其他运输设备制造业,-,否,-,230100,-,-,章苑,Avicopter Plc.,黑龙江省哈尔滨市南岗区集中开发区34号楼,-,-,北京市朝阳区安定门外小关东里14号A座7层,81989.32,15095.80,20250902,0.00,-,66893.52,66893.52,0.00,主板A股
SRBG,1,1,四川路桥,600039,四川省,-,32,四川路桥,四川省,"SICHUAN ROAD & BRIDGE GROUP CO.,LTD.",四川路桥,2,-,4,20030325,E,   D  F  N          ,建筑业,600039,四川路桥建设集团股份有限公司,20030325,510000,-,028-85126085,N,   D  F  N          ,孙立成                        ,-,主板A,Y,-,上市,-,48,610041,四川路桥,是,srbcdsh@163.com,土木工程建筑业,-,否,-,510100,-,-,王雪岭,"SICHUAN ROAD & BRIDGE GROUP CO.,LTD.",四川省成都市高新区高朋大道11号科技工业园F-59号,-,-,成都市高新区九兴大道12号,869559.06,198002.40,20250902,0.00,-,671556.66,671556.66,0.00,主板A股
PDH,1,1,保利发展,600048,广东省,-,33,保利发展,广东省,"POLY DEVELOPMENTS AND HOLDINGS GROUP CO., LTD.",保利发展,2,-,4,20060731,K,   D  F  N          ,房地产业,600048,保利发展控股集团股份有限公司,20060731,440000,-,020-89898833,N,   D  F  N          ,刘平                          ,-,主板A,Y,-,上市,-,70,510308,保利发展,是,stock@polycn.com,房地产业,-,否,-,440100,-,-,黄海,"POLY DEVELOPMENTS AND HOLDINGS GROUP CO., LTD.",广东省广州市海珠区阅江中路832号保利发展广场53-59层,-,-,广州市海珠区阅江中路832号保利发展广场53-59层,1197044.34,0.00,20250902,0.00,-,1197044.34,1197044.34,0.00,主板A股
CHINA UNICOM,1,1,中国联通,600050,北京市,-,34,中国联通,北京市,China United Network Communications Limited,中国联通,2,-,4,20021009,I,   D  F  N          ,信息传输、软件和信息技术服务业,600050,中国联合网络通信股份有限公司,20021009,110000,-,010-66259179,N,   D  F  N          ,陈忠岳                        ,-,主板A,Y,-,上市,-,63,100033,中国联通,是,ir@chinaunicom.cn,电信、广播电视和卫星传输服务,-,否,-,110000,-,-,王凌升,China United Network Communications Limited,北京市西城区金融大街21号4楼,-,-,北京市西城区金融大街21号,3126442.53,49759.92,20250902,0.00,-,3076682.61,3076682.61,0.00,主板A股
NUG,1,1,宁波联合,600051,浙江省,-,35,宁波联合,浙江省,"Ningbo United Group Co.,Ltd.",宁波联合,2,-,4,19970410,F,   D  F  N          ,批发和零售业,600051,宁波联合集团股份有限公司,19970410,330000,-,0574-86221609,N,   D  F  N          ,李水荣                        ,-,主板A,Y,-,上市,-,51,315803,宁波联合,否,info@nug.com.cn,批发业,-,否,-,330200,-,-,汤子俊,"Ningbo United Group Co.,Ltd.",浙江省宁波市开发区东海路1号联合大厦,-,-,宁波开发区东海路1号联合大厦,31088.00,0.00,20250902,0.00,-,31088.00,31088.00,0.00,主板A股
DWSD,1,1,东望时代,600052,浙江省,-,36,东望时代,浙江省,"ZHEJIANG DONGWANG TIMES TECHNOLOGY CO., LTD.",东望时代,2,-,4,19970415,R,   D  F  N          ,文化、体育和娱乐业,600052,浙江东望时代科技股份有限公司,19970415,330000,-,0571-87974176,N,   D  F  N          ,吴凯军                        ,-,主板A,Y,-,上市,-,87,310020,东望时代,否,ir@dwsd.cn,广播、电视、电影和录音制作业,-,否,-,330700,-,-,王张瑜,"ZHEJIANG DONGWANG TIMES TECHNOLOGY CO., LTD.",浙江省金华市东阳市江北街道江滨北街10号,-,-,浙江省杭州市萧山区亚奥中心写字楼21楼,84419.47,0.00,20250902,0.00,-,84419.47,84419.47,0.00,主板A股
JD CAPITAL,1,1,九鼎投资,600053,江西省,-,37,九鼎投资,江西省,"Kunwu Jiuding Investment Holdings Co., Ltd",九鼎投资,2,-,4,19970418,J,   D  F  N          ,金融业,600053,昆吾九鼎投资控股股份有限公司,19970418,360000,-,0791-88666003,N,   D  F  N          ,康青山                        ,-,主板A,Y,-,上市,-,67,330077,九鼎投资,否,600053@jdcapital.com,资本市场服务,-,否,-,360100,-,-,易凌杰,"Kunwu Jiuding Investment Holdings Co., Ltd",江西省南昌市东湖区董家窑路112号紫金城写字楼A座20层,-,-,江西省南昌市东湖区沿江北大道1379号紫金城A栋写字楼,43354.08,0.00,20250902,0.00,-,43354.08,43354.08,0.00,主板A股
HSTD,1,1,黄山旅游,600054,安徽省,-,38,黄山旅游,安徽省,"Huangshan Tourism Development Co.,Ltd.",黄山旅游,2,900942,4,19970506,N,   D  F  N          ,水利、环境和公共设施管理业,600054,黄山旅游发展股份有限公司,19970506,340000,上市,0559-2586678,N,   D  F  N          ,章德辉                        ,黄山B股,主板A,Y,-,上市,-,78,245000,黄山旅游,否,hs600054@126.com,公共设施管理业,-,否,-,341000,19961122,-,丁维,"Huangshan Tourism Development Co.,Ltd.",安徽省黄山市屯溪区天都大道5号(天都国际饭店D座16-18楼),黄山Ｂ股,-,安徽省黄山市屯溪区天都大道5号（天都国际饭店D座16-18楼）,72937.94,0.00,20250902,21607.94,-,72937.94,51330.00,0.00,主板A股
