COMPANY_ABBR_EN,STOCK_TYPE,LIST_BOARD,公司简称,股票代码,地区,DELIST_DATE,NUM,SEC_NAME_CN,AREA_NAME_DESC,FULL_NAME_IN_ENGLISH,SEC_NAME_FULL,STATE_CODE,B_STOCK_CODE,STATE_CODE_STOCK,LIST_DATE,CSRC_CODE,PRODUCT_STATUS,证监会行业,COMPANY_CODE,公司全称,上市日期,REG_PROVINCE,STATE_CODE_B_DESC,INVESTOR_PHONE,IS_VOTE_DIFF,STATUS_A,LEGAL_REPRESENTATIVE,SECURITY_ABBR_B_FULL,SEC_TYPE,PROFIT_FLAG,SMALL_CLASS_NAME,STATE_CODE_A_DESC,OTHER_CODE,CSRC_GREAT_CODE,OFFICE_ZIP,SECURITY_ABBR_A_CN,SECURITY_30_DESC,E_MAIL_ADDRESS,证监会大类行业,FOREIGN_LISTING_ADDRESS,FOREIGN_LISTING_DESC,CHANGEABLE_BOND_CODE,REG_CITY,B_LIST_DATE,OTHER_ABBR,NAME,英文全称,REG_ADDRESS,SECURITY_ABBR_B_CN,CHANGEABLE_BOND_ABBR,OFFICE_ADDRESS,TOTAL_DOMESTIC_VOL,A_LIMIT_VOL,TRADE_DATE,B_VOL,SPECIAL_VOL,TOTAL_UNLIMIT_VOL,A_UNLIMIT_VOL,CDR_VOL
XINGUANG OPTIC-ELECTRONICS,8,2,新光光电,688011,黑龙江省,-,11,新光光电,黑龙江省,"Harbin Xinguang Optic-Electronics Technology Co.,Ltd.",新光光电科技股份,2,-,4,20190722,C,   D  F  NY         ,制造业,688011,哈尔滨新光光电科技股份有限公司,20190722,230000,-,-,N,   D  F  NY         , 康为民                       ,-,科创A,Y,高端装备,上市,-,39,-,新光光电,-,zqb@xggdkj.com,计算机、通信和其他电子设备制造业,-,-,-,230100,-,-,陈国兴,"Harbin Xinguang Optic-Electronics Technology Co.,Ltd.",黑龙江省哈尔滨市松北区创新路1294号,-,-,哈尔滨市松北区创新路1294号,10000.00,0.00,20250902,0.00,-,10000.00,10000.00,0.00
AMEC,8,2,中微公司,688012,上海市,-,12,中微公司,上海市,Advanced Micro-Fabrication Equipment Inc. China,中微半导体设备,2,-,4,20190722,C,   D  F  NY         ,制造业,688012,中微半导体设备(上海)股份有限公司,20190722,310000,-,021-61001199,N,   D  F  NY         ,尹志尧                        ,-,科创A,Y,新一代信息技术,上市,-,35,201201,中微公司,是,IR@amecnsh.com,专用设备制造业,-,-,-,310000,-,-,刘方,Advanced Micro-Fabrication Equipment Inc. China,上海市浦东新区金桥出口加工区(南区)泰华路188号,-,-,上海市浦东新区金桥出口加工区（南区）泰华路188号,62614.53,0.00,20250902,0.00,-,62614.53,62614.53,0.00
TOUCHSTONE,8,2,天臣医疗,688013,江苏省,-,13,天臣医疗,江苏省,"Touchstone International Medical Science Co., Ltd.",天臣国际医疗科技,2,-,4,20200928,C,   D  F  NY         ,制造业,688013,天臣国际医疗科技股份有限公司,20200928,320000,-,0512-68601988,N,   D  F  NY         ,陈望宇                        ,-,科创A,Y,生物医药,上市,-,35,215123,天臣医疗,-,tsbs@touchstone.hk,专用设备制造业,-,-,-,320500,-,-,田国玉,"Touchstone International Medical Science Co., Ltd.",江苏省苏州市工业园区东平街278号,-,-,苏州工业园区东平街278号,8115.56,0.00,20250902,0.00,-,8115.56,8115.56,0.00
TCT,8,2,交控科技,688015,北京市,-,14,交控科技,北京市,"Traffic Control Technology Co., Ltd.",交控科技,2,-,4,20190722,C,   D  F  NY         ,制造业,688015,交控科技股份有限公司,20190722,110000,-,010-83606086,N,   D  F  NY         ,郜春海                        ,-,科创A,Y,高端装备,上市,-,37,100070,交控科技,-,ir@bj-tct.com,铁路、船舶、航空航天和其他运输设备制造业,-,-,-,110000,-,-,黄勍,"Traffic Control Technology Co., Ltd.",北京市丰台区智成北街3号院交控大厦1号楼1层101室,-,-,北京市丰台区智成北街3号院交控大厦1号楼,18868.07,0.00,20250902,0.00,-,18868.07,18868.07,0.00
ENDOVASTEC,8,2,心脉医疗,688016,上海市,-,15,心脉医疗,上海市,"Shanghai Microport Endovascular Medtech(Group) Co.,Ltd.",心脉医疗,2,-,4,20190722,C,   D  F  NY         ,制造业,688016,上海微创心脉医疗科技(集团)股份有限公司,20190722,310000,-,021-38139300,N,   D  F  NY         ,朱清                          ,-,科创A,Y,生物医药,上市,-,35,201318,心脉医疗,-,irm@endovastec.com,专用设备制造业,-,-,-,310000,-,-,邱根永,"Shanghai Microport Endovascular Medtech(Group) Co.,Ltd.",上海市浦东新区康新公路3399弄1号,-,-,上海市浦东新区康新公路3399弄1号,12326.21,0.00,20250902,0.00,-,12326.21,12326.21,0.00
LEADERDRIVE,8,2,绿的谐波,688017,江苏省,-,16,绿的谐波,江苏省,"LEADER HARMONIOUS DRIVE SYSTEMS CO., LTD",绿的谐波,2,-,4,20200828,C,   D  F  NY         ,制造业,688017,苏州绿的谐波传动科技股份有限公司,20200828,320000,-,0512-66566009,N,   D  F  NY         ,左昱昱                        ,-,科创A,Y,高端装备,上市,-,34,215000,绿的谐波,-,info@leaderdrive.com,通用设备制造业,-,-,-,320500,-,-,归来,"LEADER HARMONIOUS DRIVE SYSTEMS CO., LTD",江苏省苏州市吴中区木渎镇尧峰西路68号,-,-,苏州市吴中区木渎镇木胥西路19号,18333.01,0.00,20250902,0.00,-,18333.01,18333.01,0.00
ESPRESSIF SYSTEMS,8,2,乐鑫科技,688018,上海市,-,17,乐鑫科技,上海市,"Espressif Systems (Shanghai) Co., Ltd.",乐鑫科技,2,-,4,20190722,I,   D  F  NY         ,信息传输、软件和信息技术服务业,688018,乐鑫信息科技(上海)股份有限公司,20190722,310000,-,021-61065218,N,   D  F  NY         ,TEO SWEE ANN                  ,-,科创A,Y,新一代信息技术,上市,-,65,201203,乐鑫科技,-,ir@espressif.com,软件和信息技术服务业,-,-,-,310000,-,-,王珏,"Espressif Systems (Shanghai) Co., Ltd.",上海市自由贸易试验区碧波路690号2号楼204室,-,-,中国（上海）自由贸易试验区碧波路690号2号楼304室,15670.27,0.00,20250902,0.00,-,15670.27,15670.27,0.00
ANJI TECHNOLOGY,8,2,安集科技,688019,上海市,-,18,安集科技,上海市,"Anji Microelectronics Technology (Shanghai) Co., Ltd.",安集科技,2,-,4,20190722,C,   D  F  NY         ,制造业,688019,安集微电子科技(上海)股份有限公司,20190722,310000,-,021-20693333,N,   D  F  NY         ,SHUMIN WANG                   ,-,科创A,Y,新一代信息技术,上市,-,39,201203,安集科技,-,contact@anjimicro.com,计算机、通信和其他电子设备制造业,-,-,118054,310000,-,-,杨逊,"Anji Microelectronics Technology (Shanghai) Co., Ltd.",上海市浦东新区华东路5001号金桥出口加工区(南区)T6-9幢底层,-,安集转债,上海市浦东新区碧波路889号E座1-3楼,16855.43,0.00,20250902,0.00,-,16855.43,16855.43,0.00
"FANGBANG CO.,LTD",8,2,方邦股份,688020,广东省,-,19,方邦股份,广东省,"GUANGZHOU FANGBANG ELECTRONICS CO.,LTD",方邦股份,2,-,4,20190722,C,   D  F  NY         ,制造业,688020,广州方邦电子股份有限公司,20190722,440000,-,020-82512686,N,   D  F  NY         ,苏陟                          ,-,科创A,Y,新材料,上市,-,39,510530,方邦股份,-,dm@fbflex.com,计算机、通信和其他电子设备制造业,-,-,-,440100,-,-,王作凯,"GUANGZHOU FANGBANG ELECTRONICS CO.,LTD",广东省广州市黄埔区东枝路28号,-,-,广东省广州市黄埔区东枝路28号,8134.79,0.00,20250902,0.00,-,8134.79,8134.79,0.00
AOFU ENVIRONMENTAL TECH,8,2,奥福科技,688021,山东省,-,20,奥福科技,山东省,"Aofu Environmental Technology Co., Ltd.",奥福科技,2,-,4,20191106,C,   D  F  NY         ,制造业,688021,山东奥福环保科技股份有限公司,20191106,370000,-,0534-4260688,N,   D  F  NY         ,潘吉庆                        ,-,科创A,Y,新材料,上市,-,35,251500,奥福科技,-,shandongaofu@aofuchina.com,专用设备制造业,-,-,-,371400,-,-,潘洁羽,"Aofu Environmental Technology Co., Ltd.",山东省德州市临邑县花园大街东段路北,-,-,德州市临邑县花园大街东段路北平昌路西邻131号,7641.37,0.00,20250902,0.00,-,7641.37,7641.37,0.00
HARMONTRONICS AUTOMATION,8,2,瀚川智能,688022,江苏省,-,21,瀚川智能,江苏省,"Suzhou Harmontronics Automation Technology Co.,Ltd",瀚川智能,2,-,4,20190722,C,   D  F  NY         ,制造业,688022,苏州瀚川智能科技股份有限公司,20190722,320000,-,0512-62819001-60163,N,   D  F  NY         ,蔡昌蔚                        ,-,科创A,Y,高端装备,上市,-,35,215126,瀚川智能,-,yufei.hong@htsm.com,专用设备制造业,-,-,-,320500,-,-,鄢志成,"Suzhou Harmontronics Automation Technology Co.,Ltd",江苏省苏州市工业园区听涛路32号,-,-,江苏省苏州市工业园区听涛路32号,17587.83,0.00,20250902,0.00,-,17587.83,17587.83,0.00
DAS-SECURITY,8,2,安恒信息,688023,浙江省,-,22,安恒信息,浙江省,"DBAPPSecurity Co., Ltd.",安恒信息,2,-,4,20191105,I,   D  F  NY         ,信息传输、软件和信息技术服务业,688023,杭州安恒信息技术股份有限公司,20191105,330000,-,0571-28898076,N,   D  F  NY         ,张小孟                        ,-,科创A,Y,新一代信息技术,上市,-,65,310051,安恒信息,-,ahxx@dbappsecurity.com.cn,软件和信息技术服务业,-,-,-,330100,-,-,李沐华,"DBAPPSecurity Co., Ltd.",浙江省杭州市滨江区西兴街道联慧街188号,-,-,杭州市滨江区西兴街道联慧街188号安恒大厦,10206.55,0.00,20250902,0.00,-,10206.55,10206.55,0.00
JPT,8,2,杰普特,688025,广东省,-,23,杰普特,广东省,"Shenzhen JPT Opto-Electronics Co., Ltd.",杰普特光电,2,-,4,20191031,C,   D  F  NY         ,制造业,688025,深圳市杰普特光电股份有限公司,20191031,440000,-,0755-29528181,N,   D  F  NY         ,黄治家                        ,-,科创A,Y,高端装备,上市,-,39,518110,杰普特,-,ir@jptoe.com,计算机、通信和其他电子设备制造业,-,-,-,440300,-,-,吴检柯,"Shenzhen JPT Opto-Electronics Co., Ltd.",广东省深圳市龙华区观湖街道鹭湖社区观盛五路8-1号科姆龙科技园A栋1201,-,-,深圳市龙华区观湖街道鹭湖社区观盛五路8-1号科姆龙科技园A栋1201,9504.94,0.00,20250902,0.00,-,9504.94,9504.94,0.00
JET BIO-FILTRATION,8,2,洁特生物,688026,广东省,-,24,洁特生物,广东省,"GUANGZHOU JET BIO-FILTRATION CO.,LTD",洁特生物股份,2,-,4,20200122,C,   D  F  NY         ,制造业,688026,广州洁特生物过滤股份有限公司,20200122,440000,-,020-32811868,N,   D  F  NY         ,袁建华                        ,-,科创A,Y,生物医药,上市,118010,29,511356,洁特生物,-,jetzqb@jetbiofil.com,橡胶和塑料制品业,-,-,118010,440100,-,洁特转债,-,"GUANGZHOU JET BIO-FILTRATION CO.,LTD",广东省广州市经济技术开发区永和经济区斗塘路1号,-,洁特转债,广州经济技术开发区永和经济区斗塘路1号,14036.43,4.48,20250902,0.00,-,14031.95,14031.95,0.00
QUANTUMCTEK,8,2,国盾量子,688027,安徽省,-,25,国盾量子,安徽省,"Quantumctek Co., Ltd.",科大国盾量子,2,-,4,20200709,C,   D  F  NY         ,制造业,688027,科大国盾量子技术股份有限公司,20200709,340000,-,0551-66185117,N,   D  F  NY         ,吕品                          ,-,科创A,Y,新一代信息技术,上市,-,39,230088,国盾量子,-,guodun@quantum-info.com,计算机、通信和其他电子设备制造业,-,-,-,340100,-,-,童璐,"Quantumctek Co., Ltd.",安徽省合肥市高新区华佗巷777号科大国盾量子科技园,-,-,合肥市高新区华佗巷777号科大国盾量子科技园,10286.10,2248.66,20250902,0.00,-,8037.44,8037.44,0.00
WORLDIA,8,2,沃尔德,688028,北京市,-,26,沃尔德,北京市,"Beijing Worldia Diamond Tools Co.,Ltd.",沃尔德金刚石,2,-,4,20190722,C,   D  F  NY         ,制造业,688028,北京沃尔德金刚石工具股份有限公司,20190722,110000,-,0573-83821079,N,   D  F  NY         ,陈继锋                        ,-,科创A,Y,新材料,上市,-,34,100015,沃尔德,-,chenhuanchao@worldiatools.com,通用设备制造业,-,-,-,110000,-,-,陈焕超,"Beijing Worldia Diamond Tools Co.,Ltd.",北京市朝阳区酒仙桥路东路1号院7号厂房7-12东五层H-03室,-,-,河北省廊坊市大厂潮白河工业园区工业二路东侧,15094.90,0.00,20250902,0.00,-,15094.90,15094.90,0.00
MTM,8,2,南微医学,688029,江苏省,-,27,南微医学,江苏省,"Micro-Tech (Nanjing) Co.,Ltd",南微医学科技,2,-,4,20190722,C,   D  F  NY         ,制造业,688029,南微医学科技股份有限公司,20190722,320000,-,02558648819,N,   D  F  NY         ,隆晓辉                        ,-,科创A,Y,生物医药,上市,-,35,210032,南微医学,-,nwxy@mtmed.com,专用设备制造业,-,-,-,320100,-,-,龚星亮,"Micro-Tech (Nanjing) Co.,Ltd",江苏省南京市高新开发区高科三路10号,-,-,南京江北新区药谷大道199号南微医学1号楼9楼,18784.74,0.00,20250902,0.00,-,18784.74,18784.74,0.00
HILLSTONE NETWORKS,8,2,山石网科,688030,江苏省,-,28,山石网科,江苏省,"Hillstone Networks Co., Ltd.",山石网科,2,-,4,20190930,I,   D  F  NY         ,信息传输、软件和信息技术服务业,688030,山石网科通信技术股份有限公司,20190930,320000,-,0512-66806591,N,   D  F  NY         ,叶海强                        ,-,科创A,Y,新一代信息技术,上市,118007,65,215153,山石网科,-,ir@hillstonenet.com,软件和信息技术服务业,-,-,118007,320500,-,山石转债,唐琰,"Hillstone Networks Co., Ltd.",江苏省苏州市苏州高新区景润路181号,-,山石转债,苏州高新区景润路181号,18023.27,0.00,20250902,0.00,-,18023.27,18023.27,0.00
TRANSWARP,8,2,星环科技,688031,上海市,-,29,星环科技,上海市,"TRANSWARP TECHNOLOGY (SHANGHAI) CO., LTD.",星环科技,2,-,4,20221018,I,   D  FU NY         ,信息传输、软件和信息技术服务业,688031,星环信息科技(上海)股份有限公司,20221018,310000,-,021-61761338,N,   D  FU NY         ,孙元浩                        ,-,科创A,N,新一代信息技术,上市,-,65,200233,星环科技,-,ir@transwarp.io,软件和信息技术服务业,-,-,-,310000,-,-,李一多,"TRANSWARP TECHNOLOGY (SHANGHAI) CO., LTD.",上海市徐汇区虹漕路88号3楼、B栋11楼,-,-,上海徐汇区虹漕路88号越虹广场B座11楼,12112.95,2716.34,20250902,0.00,-,9396.61,9396.61,0.00
HOYMILES,8,2,禾迈股份,688032,浙江省,-,30,禾迈股份,浙江省,HOYMILES POWER ELECTRONICS INC.,禾迈股份,2,-,4,20211220,C,   D  F  NY         ,制造业,688032,杭州禾迈电力电子股份有限公司,20211220,330000,-,0571-28060318,N,   D  F  NY         ,邵建雄                        ,-,科创A,Y,新能源,上市,-,38,310015,禾迈股份,-,dongmiban@hoymiles.com,电气机械和器材制造业,-,-,-,330100,-,-,梁君临,HOYMILES POWER ELECTRONICS INC.,浙江省杭州市拱墅区康景路18号11幢三楼,-,-,杭州市拱墅区康桥街道候圣街99号财智顺丰创新中心5幢,12407.35,0.00,20250902,0.00,-,12407.35,12407.35,0.00
TYSJ,8,2,天宜新材,688033,北京市,-,31,天宜新材,北京市,"Beijing Tianyishangjia New Material Corp., Ltd.",天宜新材,2,-,4,20190722,C,   D  F  NY         ,制造业,688033,北京天宜上佳高新材料股份有限公司,20190722,110000,-,010-69393926,N,   D  F  NY         ,吴佩芳                        ,-,科创A,Y,高端装备,上市,-,37,102433,天宜新材,-,tysj@bjtysj.com,铁路、船舶、航空航天和其他运输设备制造业,-,-,-,110000,-,-,章丽娟,"Beijing Tianyishangjia New Material Corp., Ltd.",北京市海淀区上庄镇西辛力屯村南铁道北500米,-,-, 北京市房山区窦店镇迎宾南街7号院,56219.86,0.00,20250902,0.00,-,56219.86,56219.86,0.00
DARBOND,8,2,德邦科技,688035,山东省,-,32,德邦科技,山东省,"DARBOND TECHNOLOGY CO., LTD",德邦科技股份,2,-,4,20220919,C,   D  F  NY         ,制造业,688035,烟台德邦科技股份有限公司,20220919,370000,-,0535-3467732,N,   D  F  NY         ,解海华                        ,-,科创A,Y,新一代信息技术,上市,-,39,265618,德邦科技,-,dbkj@darbond.com,计算机、通信和其他电子设备制造业,-,-,-,370600,-,-,于杰,"DARBOND TECHNOLOGY CO., LTD",山东省烟台市福山区经济技术开发区开封路3-3号(C-41小区),-,-,山东省烟台市经济技术开发区开封路3-3号（C-41小区）,14224.00,5342.24,20250902,0.00,-,8881.76,8881.76,0.00
TRANSSION,8,2,传音控股,688036,广东省,-,33,传音控股,广东省,"Shenzhen Transsion Holdings Co., Ltd.",传音控股,2,-,4,20190930,C,   D  F  NY         ,制造业,688036,深圳传音控股股份有限公司,20190930,440000,-,0755-33979932,N,   D  F  NY         ,竺兆江                        ,-,科创A,Y,新一代信息技术,上市,-,39,518000,传音控股,是,qi.zhang1@transsion.com,计算机、通信和其他电子设备制造业,-,-,-,440300,-,-,曾春,"Shenzhen Transsion Holdings Co., Ltd.",广东省深圳市南山区西丽街道西丽社区仙元路8号传音大厦24楼一单元,-,-,深圳市南山区西丽街道仙元路8号传音大厦26层,114035.06,0.00,20250902,0.00,-,114035.06,114035.06,0.00
KINGSEMI,8,2,芯源微,688037,辽宁省,-,34,芯源微,辽宁省,"Kingsemi Co.,Ltd.",芯源微电子,2,-,4,20191216,C,   D  F  NY         ,制造业,688037,沈阳芯源微电子设备股份有限公司,20191216,210000,-,024-86688037,N,   D  F  NY         ,邓晓军                        ,-,科创A,Y,新一代信息技术,上市,-,35,110168,芯源微,-,688037@kingsemi.com,专用设备制造业,-,-,-,210100,-,-,刘书杰,"Kingsemi Co.,Ltd.",辽宁省沈阳市浑南区飞云路16号,-,-,辽宁省沈阳市浑南区彩云路1号,20127.78,0.00,20250902,0.00,-,20127.78,20127.78,0.00
CITMS,8,2,中科通达,688038,湖北省,-,35,中科通达,湖北省,"Wuhan Citms Technology Co.,Ltd",武汉中科通达,2,-,4,20210713,I,   D  F  NY         ,信息传输、软件和信息技术服务业,688038,武汉中科通达高新技术股份有限公司,20210713,420000,-,027-87788636,N,   D  F  NY         ,王开学                        ,-,科创A,Y,新一代信息技术,上市,-,65,430070,中科通达,-,citms-zqb@citms.cn,软件和信息技术服务业,-,-,-,420100,-,-, 何娟,"Wuhan Citms Technology Co.,Ltd",湖北省武汉市东湖新技术开发区关山大道1号软件产业三期A3栋10层,-,-,武汉东湖新技术开发区关山大道1号软件产业三期A3栋10层,11637.34,0.00,20250902,0.00,-,11637.34,11637.34,0.00
ARCVIDEO TECH,8,2,当虹科技,688039,浙江省,-,36,当虹科技,浙江省,"HANGZHOU ARCVIDEO TECHNOLOGY CO., LTD.",当虹科技,2,-,4,20191211,I,   D  F  NY         ,信息传输、软件和信息技术服务业,688039,杭州当虹科技股份有限公司,20191211,330000,-,0571-87767690,N,   D  F  NY         ,孙彦龙                        ,-,科创A,Y,新一代信息技术,上市,-,65,310051,当虹科技,-,ir@arcvideo.com,软件和信息技术服务业,-,-,-,330100,-,-,谭亚,"HANGZHOU ARCVIDEO TECHNOLOGY CO., LTD.",浙江省杭州市滨江区长河街道众创路309号13楼,-,-,浙江省杭州市滨江区长河街道众创路309号13楼,11060.14,0.00,20250902,0.00,-,11060.14,11060.14,0.00
